CUT,Nombre,Latitud,Longitud
16303,Ñiquén,-36.287,-71.899
16304,San Fabián,-36.554,-71.549
16305,San Nicolás,-36.883,-72.483
8101,Concepción,-36.815,-73.029
8102,Coronel,-36.982,-73.157
8103,Chiguayante,-36.909,-73.028
8104,Florida,-36.821,-72.662
8105,Hualqui,-36.967,-72.933
8106,Lota,-37.089,-73.155
8107,Penco,-36.742,-72.998
8108,San Pedro de La Paz,-36.864,-73.108
8109,Santa Juana,-37.1793333333333,-72.9353333333333
8110,Talcahuano,-36.736,-73.105
8111,Tomé,-36.624,-72.95
8112,Hualpén,-36.789,-73.11
8201,Lebu,-37.606,-73.643
8202,Arauco,-37.257,-73.284
8203,Cañete,-37.8012777777778,-73.409
8204,Contulmo,-38.005,-73.225
8205,Curanilahue,-37.472,-73.348
8206,Los Álamos,-37.621,-73.456
8207,Tirúa,-38.339,-73.484
8301,Los Ángeles,-36.944,-72.351
8302,Antuco,-37.327,-71.678
8303,Cabrero,-37.039,-72.399
8304,Laja,-37.267,-72.7
8305,Mulchén,-37.715,-72.239
8306,Nacimiento,-37.501,-72.676
8307,Negrete,-37.583,-72.517
8308,Quilaco,-37.68,-72.007
8309,Quilleco,-37.467,-71.967
8310,San Rosendo,-37.258,-72.716
8311,Santa Bárbara,-37.663,-72.018
8312,Tucapel,-37.633,-73.333
8313,Yumbel,-37.096,-72.556
8314,Alto Biobío,-38.619,-71.3243333333333
9101,Temuco,-38.727,-72.599
9102,Carahue,-38.707,-73.16
9103,Cunco,-38.93,-72.027
9104,Curarrehue,-39.359,-71.588
9105,Freire,-38.954,-72.622
9106,Galvarino,-38.4,-72.783
9107,Gorbea,-39.095,-72.672
9108,Lautaro,-38.529,-72.427
9109,Loncoche,-39.354,-72.628
9110,Melipeuco,-38.843,-71.687
9111,Nueva Imperial,-38.745,-72.95
9112,Padre Las Casas,-38.766,-72.593
9113,Perquenco,-38.417,-72.383
9114,Pitrufquén,-38.983,-72.643
9115,Pucón,-39.282,-71.954
9116,Saavedra,-38.783,-73.4
9117,Teodoro Schmidt,-38.967,-73.05
9118,Toltén,-39.217,-73.217
9119,Vilcún,-38.65,-72.233
9120,Villarrica,-39.28,-72.218
9121,Cholchol,-38.6,-72.85
9201,Angol,-37.803,-72.702
9202,Collipulli,-37.953,-72.432
9203,Curacautín,-38.432,-71.89
9204,Ercilla,-38.05,-72.383
9205,Lonquimay,-38.433,-71.233
9206,Los Sauces,-37.967,-72.833
9207,Lumaco,-38.163,-72.904
9208,Purén,-38.022,-73.07
9209,Renaico,-37.667,-72.583
9210,Traiguén,-38.248,-72.675
9211,Victoria,-38.23,-72.343
14101,Valdivia,-39.8,-73.233
14102,Corral,-39.867,-73.433
14103,Lanco,-39.447,-72.772
14104,Los Lagos,-41.92,-72.142
14105,Máfil,-39.65,-72.95
14106,Mariquina,-40.133,-72.333
14107,Paillaco,-40.068,-72.883
14108,Panguipulli,-39.642,-72.34
14201,La Unión,-40.292,-73.088
14202,Futrono,-40.131,-72.396
14203,Lago Ranco,-40.317,-72.5
14204,Río Bueno,-40.338,-72.957
10101,Puerto Montt,-41.454,-72.993
